term,genes
Nfatc2,Bcl2l1;Cdkn1a;Cmpk2;Cxcl10;E2f5;Enpp2;Ifit2;Ifit3;Iigp1;Irf1;Irf7;Mapk3;Nfkbiz;Rsad2;Socs3;Stat1
Nfe2l2,Atf4;Bcl2l1;Calm1;Cdkn1a;Col1a1;Col4a2;Coq7;Cxcl10;Cybb;Dhcr7;Entpd5;Erp29;Fkbp5;Fth1;Gnai2;Gpx1;Gpx3;Gsta4;Ifrd1;Maff;Map1lc3b;Me1;Mgll;Mt1;Phgdh;Psat1;Sat1;Slc1a4;Slc35a2;Socs3;Sqstm1;Taldo1;Thrsp;Tmed2
Nfix,Clec3b;Slc25a5
Nfkb1,Adora1;Bcl2l1;Bcl3;Ccnd2;Cdkn1a;Col1a1;Cxcl10;Cybb;Cyr61;Enpp2;Fos;Gfra1;Gja1;Icam1;Irf1;Lgals1;Mat2a;Mcl1;Prkcd;Saa3;Stat1;Stim1
Nfkb2,Bcl2l1;Cdkn1a;Cxcl12;Fos;Mat2a;Stim1
Nfkbia,Ampd3;Bcl2l1;Bcl3;Ccnd2;Cdkn1a;Cebpd;Cp;Ctnna1;Cxcl10;Cxcl12;Enpp2;Fos;Gadd45b;Gas5;Gbp2;Gpx3;Icam1;Irf1;Junb;Lcn2;Mt1;Ncan;Ptp4a2;Rpsa;Saa3;Sat1;Socs3;Timp1;Timp3;Tmem176b
Nfya,Calr;Cdkn1a;Col5a3;Fth1;Gadd45b;Icam1;Irf1;Junb;Thrsp
Nkx2-3,Adamtsl2;Agap3;Alpl;Angptl4;Cd34;Cmpk2;Eif2ak2;Galnt15;Gbp2;Gng12;Hey2;Phgdh;Psat1;Psmb8;Reep1;Rtp4;Stat1;Usp18;Xaf1;Zc3hav1;Znfx1
Nkx3-1,Fos;Ptp4a2;Ramp1;Smad1;Stat3
Notch1,Bcl2l1;Ccnd2;Cd14;Cdkn1a;Cebpd;Col1a1;Cyr61;Fabp7;Fcgr2b;Fos;Hey2;Icam1;Igfbp4;Irf1;Mpz;Mylk;Ndufv2;Rlbp1;Spp1;Spry2;Tspan33
Notch3,Apod;Arhgef4;Cdkn1a;Fabp7;Hey2;Sdc2
Pax3,Bcl2l1;Cdkn1a;Cnr1;Cttn;Dnm1;Fabp7;Olfm1;Phgdh;Rlbp1;Snrk;Timp3;Tspan3;Tspan7;Ywhae
Pbx1,Cdkn1a;Col1a1;Cybb;Fabp7;Stat3
Pdx1,Atf4;Camk2n1;Cdo1;Col1a1;Fgfr1;Gap43;Gng12;Hap1;Insig1;Junb;Lxn;Marcks;Mt1;Phgdh;Pnpo;Ppp1r1a;Rsad2;Spp1;Wfs1
Pias2,Cdkn1a;Fos;Irf1
Pias3,Bcl2l1;Fth1
Pitx2,Ccnd2;Dhrs7b;Idh2;Kctd1;Ndufa13;Ndufc2;Ndufs7;Plod2;Prdx2;Sdhc;Sox2;Vim
Pou5f1,Bag1;Bmpr1a;Cdkn1a;Cidea;Cxcl10;Dusp4;Farp1;Macf1;Mcl1;Nf2;Oasl2;Sirpa;Smad1;Sox2;Spp1;Stim1;Tgm1;Tnfrsf1a;Usp18;Vim;Wls
Ppargc1a,Cdc42ep1;Cdkn1a;Cebpd;Cidea;Cox5a;Endog;Fndc5;Gpx1;Insig1;Me1;Ndufv2;Pnpla2;Slc39a14;Socs3;Tnfrsf12a;Ucp2
Ppargc1b,Cidea;Cox5a;Mvk;Ndufv2;Sqle
Prdm1,Alpl;Angptl4;Crispld2;Fndc5;Fos;Fth1;Gsta4;Lgals1;Mcl1;Me1;Psd2;Psmb10;Psmb8;Rsad2;Tapbp;Tnfaip6
Rel,Bcl2l1;Bcl3;Ccnd2;Cdkn1a;Cldn10;Cxcl10;Endog;Fads2;Fos;Gadd45b;Icam1;Iigp1;Kpna3;Phgdh;Rsad2;Sorbs1;Stat3;Vim
Rela,Bcl2l1;Bcl3;Cd14;Cdkn1a;Col1a1;Cttn;Cxcl10;Cybb;Fos;Icam1;Irf1;Irf7;Junb;Mat2a;Nf2;Prkcd;Psmb10;S100a6;Saa3;Stim1;Tapbp;Tgm2;Vhl;Vim
Relb,Bcl2l1;Cdkn1a;Cxcl12;Mat2a;Tnfrsf1a
Runx1,Arl5c;Cd34;Cdkn1a;Hey2;Map3k6;Mt1;Plxnd1;Sgpp1;Slc22a4;Spp1;Stat3;Timp1;Zbtb16
Runx2,Alpl;C4b;Cdkn1a;Cebpd;Col1a1;Gadd45b;Gdf10;Lgals3;Sgpp1;Spp1;Timp1
Ruvbl1,Adam15;Ccnd2;Ergic1;Gadd45b
Satb1,Cdkn1a;Ctnna1;Cybb;Dusp4;Gadd45b;Irf7;S1pr1;Sun2;Tuba4a;Vim;Vta1;Xaf1
Scx,Col1a1;Msx1;Spp1;Timp3
Sirt1,Apln;Bcl2l1;Ccnd2;Cdkn1a;Cmpk2;Cnr1;Dbp;Gabarapl1;Hjurp;Icam1;Idh2;Ifi47;Ifit3;Ifitm3;Igtp;Iigp1;Irf7;Irgm1;Kcna1;Kif5c;Lgals3;Lgals3bp;Mvk;Negr1;Oasl2;Ptn;Rsad2;Rtp4;Stat1;Stat3;Synpo;Timp3;Ucp2;Usp18
Sirt2,Dhcr7;Fnta;Mvk;Sc5d;Sqle
Smad1,Alpl;Bcl2l1;Cdkn1a;Col1a1;Gadd45b;Irf1;Smad1;Spp1
Smad3,Adora1;Bgn;Ccnd2;Cdkn1a;Col1a1;Cxcl10;Dusp4;Fndc5;Fos;Gadd45b;Jam2;Junb;Lpar1;Mboat2;Ppard;S1pr1;Smad1;Sox2;Spp1;Stat3;Timp1;Timp3;Vim;Zyx
Smad4,Angptl4;Bgn;Ccnd2;Cdkn1a;Fos;Gadd45b;Gja1;Icam1;Irak3;Jam2;Lpar1;Shisa5;Smo;Timp1;Timp3;Tnfaip6;Vim
Smad7,Bgn;Bmpr1a;Cdkn1a;Col1a1;Cxcl10;Cxcl12;G6pc3;Icam1;Sox2;Timp1;Timp3
Smarca4,Adam15;Ahnak;Cdkn1a;Clcf1;Col1a1;Cp;Dusp4;Fads3;Fkbp5;Fos;Gadd45b;Gpm6a;Gpx1;Icam1;Ifitm3;Igfbp4;Irf1;Lgals1;Lgals3;Maff;Mt1;Mylk;Nfkbiz;Nrip3;Ptp4a2;Ramp1;S100a6;Scg5;Sdc2;Sel1l3;Slc43a3;Snapc2;Sox2;Spp1;Spry2;Usp24;Vim
Sox1,Bmpr1a;Dusp4;Farp1;Macf1;Oasl2;Smad1;Usp18;Wls
Sox2,Amot;Bcl2l1;Bmpr1a;Cdkn1a;Col1a1;Dusp4;Fabp7;Farp1;Fos;Gab2;Gadd45b;Gja1;Macf1;Nf2;Oasl2;Prkcd;Smad1;Sox2;Tead3;Tgm1;Timp3;Usp18;Vim;Wls
Sox3,Bmpr1a;Dusp4;Farp1;Macf1;Oasl2;Smad1;Sox2;Usp18;Wls;Zbtb16
Sox4,Capn2;Ctnna1;Dbndd2;Dusp4;Fnbp1l;Fos;Igfbp4;Kank1;Mt1;Nrep;Sel1l3;Smad1;Tenm4;Tmem176b;Tmem255a;Tspan6;Vim
Sp1,Adamts1;Alpl;Ccnd2;Cdkn1a;Cebpd;Col1a1;Cxcl10;Cxcl12;Cyc1;Dnm1;Eif2ak2;Ezr;Fgfr1;Fos;Gja1;Gnai2;Gria1;Hdac2;Icam1;Ifitm3;Igfbp4;Irf1;Jam2;Lcat;Mat2a;Mcl1;Mt1;Mylk;Ppard;Prkcd;Ptdss1;Ptn;Rras;Slc22a4;Slc25a5;Spp1;Stat1;Tgm1;Timp1;Timp3;Vim
Sp100,Cd14;Cdkn1a;Fos;Icam1
Sp110,Bcl3;Cxcl10;Cyr61;Eef2k;Hdac2;Ifit3;Ifitm3;Irf9;Mcl1;Nf2;Sqstm1;Stat1;Stim1;Timp1;Tnfrsf1a
Sp2,Cdkn1a;Fos;Gnai2;Mat2a;Prkcd
Sp3,Cdkn1a;Col1a1;Dnm1;Eif2ak2;Fos;Gnai2;Jam2;Lcat;Mat2a;Mylk;Prkcd;Ptdss1;Rras;Stat1;Tgm1;Timp1;Vim
Sp7,Alpl;Col1a1;Spp1
Spdef,Cd34;Cdkn1a;Col16a1;Col1a1;Col4a2;Fgfr1;Lamc1;Sdc2;Smad1;Sqstm1;Vim
Spi1,Bcl7a;Ccnd2;Cd14;Cdkn1a;Cmpk2;Cxcl10;Cybb;Fcgr2b;Fos;Fth1;Gpx1;Hdac7;Ifit2;Ifit3;Ifitm3;Irak3;Irf7;Irf9;Mcl1;Psmb10;Psmb8;Rsad2;Spp1;Usp18;Vim
Srebf1,Ak4;Bcl2l1;Cd14;Cdkn1a;Cebpd;Cidea;Cxcl10;Dbi;Dhcr7;Fabp7;Fads2;Gpx3;Insig1;Lgals3;Mdk;Nupr1;Pick1;Pltp;Sc5d;Slc22a4;Sqle;Thrsp;Ucp2
Srebf2,Cdkn1a;Dbi;Dhcr7;Fabp7;Fads2;Insig1;Lrp1;Mvk;Sc5d;Sqle;Thrsp
Stat1,Bcl2l1;C4b;Ccnd2;Cd14;Cdkn1a;Cebpd;Cmpk2;Cxcl10;Eif2ak2;Fcgr2b;Fos;Gbp2;Gbp5;Icam1;Ifi47;Ifit2;Ifit3;Ifitm3;Igtp;Irf1;Irf7;Irf9;Irgm1;Lcn2;Psmb10;Psmb8;Ptn;Rsad2;Rtp4;Serping1;Socs3;Stat1;Stat3;Usp18;Xaf1
Stat2,Cxcl10;Ifit2;Ifit3;Irf1;Irf7;Irf9;Psmb8;Rsad2;Usp18
Stat3,Angptl4;Bcl2l1;Bcl3;Ccnd2;Cdkn1a;Cebpd;Cmpk2;Col1a1;Cttn;Cxcl10;Eif2ak2;Enpp2;Fos;Gap43;Gbp2;Gbp5;Gja1;Icam1;Ifit2;Ifit3;Ifitm3;Igtp;Irf1;Irf7;Irf9;Irgm1;Junb;Lcat;Mcl1;Mt1;Nfkbiz;Pfkl;Psmb8;Ptn;Ralgds;Rsad2;S1pr1;Slc39a10;Socs3;Sox2;Stat1;Stat3;Synpo;Timp1;Usp18;Vim;Xaf1
Stat4,Ahnak;Atf4;Bcl2l1;Bcl3;Capn5;Cxcl10;Cyp2d22;Gas5;Gja1;Ifit2;Irf1;Itih5;Lrp1;Mboat2;Mt1;Plod2;Ramp1;Sat1;Scg5;Socs3;Stat1;Timp1;Vldlr
Stat5b,Ahnak;Bcl2l1;Ccnd2;Cdkn1a;Cdo1;Cidea;Ddc;Fam126a;Fos;Gadd45b;Gpd1;Gsta4;Irf1;Mcl1;Me1;Pcp4l1;Pltp;Pmm1;Slc39a10;Socs3;Susd4;Thrsp;Tnfrsf1a
Stat6,Bcl2l1;Bcl3;Ccnd2;Cdkn1a;Col1a1;Cxcl10;Fam126a;Fkbp5;Gadd45b;Gbp2;Ifit3;Irf1;Irf7;Irf9;Lgals3bp;Mvk;Myo6;Pnpla2;Pros1;Sqstm1;Timp1;Tle1
Taf4,Bcl2l1;Gas5;Gjb2;Maff;Mafk;Map3k6;Olfml3;Ptn;Spp1;Tgm1
Taf4b,Ccnd2;Irf1;Spp1;Zbtb16
Tcf7,Cebpd;Fos;Ppard;Sdc2;Sox2;Spp1
Tcf7l2,Apod;Camk2n1;Carhsp1;Ccnd2;Ccp110;Cdkn1a;Ctnna1;Dbndd2;Ddc;Dhrs7;Enpp2;Entpd5;Eps15;Erf;Fth1;Lgi3;Me1;Mobp;Mog;Myo6;Nfasc;Nudt4;Ralgds;Reep3;Sc5d;Sdc2;Slc44a1;Sox2;Spp1;Tppp;Txndc16
Tcl1a,Cybb;Fabp7;Fcgr2b;Fkbp5;Fos;Lcn2;Marco;Mcl1;Steap4
Tfap4,Bcl2l1;Cdkn1a;Fos;Rhobtb3;Steap3;Tspan31;Vim
Tfe3,Cidea;Insig1;Ndufv2;Pnpla2;Thrsp
Tle1,Fos;Mcl1;Nupr1
Tob1,Amotl2;Bcl2l1;Cdkn1a;Hjurp;Mbnl2;Snrk
Tp53,Ak4;Amotl2;Anapc4;Arhgap5;Arhgef4;Arl6ip1;Arpc1b;Asxl1;Atf4;Bag1;Bcl2l1;Bcl3;Camk2n1;Carhsp1;Ccnd2;Cdkn1a;Cebpd;Cnn3;Col1a1;Col4a2;Cox5a;Cp;Cxcl10;Cxcl12;Cyr61;Dbi;Dbp;Dhcr7;Dusp4;E2f5;Eef1a1;Eif4g3;Enpp2;Erf;Ezr;Fgfr1;Fkbp3;Fkbp5;Fos;Fth1;Gadd45b;Gja1;Gnai2;Golga4;Gpd1;Gpx1;Gpx3;Hadh;Hdac2;Hjurp;Hspb1;Icam1;Idh2;Igfbp4;Irf7;Irf9;Junb;Laptm4a;Lgals3;Mapk3;Mapk4;Mbnl2;Mcl1;Me1;Msrb1;Mvk;Mvp;Myo1c;Myo6;Nap1l1;Nupr1;P4ha1;Padi2;Phgdh;Plod2;Pltp;Pmm1;Ppard;Prdx2;Prkag2;Ptn;Ptprn;Qdpr;Rbm3;Rpsa;Sat1;Sdhc;Serping1;Shisa5;Slc5a3;Snrk;Sorbs1;Sox2;Spcs2;Spp1;Sqle;Stat1;Stat3;Steap3;Taldo1;Tgm2;Timp1;Timp3;Tinagl1;Tmsb4x;Tnfrsf1a;Tom1;Tspan6;Tubb4a;Vim;Vldlr;Xaf1;Ypel3;Zyx
Tp73,Angptl4;Arl5c;Cdkn1a;Cldn10;Cnn3;Col1a1;Cxcl10;Cyr61;Dbp;Gab2;Idh2;Igfbp4;Laptm4a;Lrg1;Mdk;Nupr1;Prkag2;Sat1;Serping1;Shisa5;Smo;Snrk;Spp1;Timp1;Timp3;Tnfrsf12a;Tnfrsf1a;Tspyl1
Trim24,Bst2;Cmpk2;Cxcl10;Gbp2;Ifi47;Ifit2;Ifit3;Igtp;Iigp1;Irf1;Irf7;Irf9;Irgm1;Lgals3;Lgals3bp;Psmb10;Psmb8;Rtp4;Shisa5;Spp1;Stat1;Usp18
Twist1,Adamts1;Apod;Cdkn1a;Col1a1;Cxcl12;Dnm1;Fos;Frem2;Igfbp4;Lrg1;Olfml3;Pamr1;Spp1;Timp3;Vim;Zyx
Usf2,Apln;Lgals3bp;P4ha1;Spp1;Thrsp;Ucp2
Vhl,Ahcyl1;Atf4;Bcl2l1;Cdkn1a;Cxcl12;Fth1;Gpx1;Ifitm3;Nrep;Rhof;Vim
Wwtr1,Col1a1;Cyr61;Gja1;Icam1;Negr1;Nf2;Spp1
Xbp1,Atf4;Calr;Ddost;Erp29;Golga4;Icam1;Map1lc3b;Rab33b;S100a6;S1pr1;Spcs2;Txndc5;Wfs1
Yap1,Amotl2;Bcl2l1;Cdkn1a;Cyr61;Fos;Icam1;Negr1;Nf2;Nupr1;Sox2;Vim
Zbtb16,Cd14;Cd34;Cdkn1a;Col1a1;Cxcl10;Eif2ak2;Nfkbiz;Rarg;Spp1;Tmem176b;Zbtb16
Znf148,Bcl2l1;Cdkn1a;Stat1;Vim
